epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,16942.4,0.69733,0.38869,0.87486,0.60521,0.56486,0.58772,0.44815,1.0597,1.12883,1.02645,0.003367,0.003367,0.003367
69,17192.8,0.69239,0.38328,0.87177,0.64206,0.56953,0.59949,0.46009,1.05971,1.10893,1.02366,0.003268,0.003268,0.003268
70,17440.6,0.68991,0.38034,0.87138,0.63361,0.57263,0.59078,0.45349,1.06009,1.108,1.02474,0.003169,0.003169,0.003169
71,17689.9,0.69083,0.38059,0.87275,0.63601,0.57192,0.58921,0.453,1.06213,1.11887,1.0259,0.00307,0.00307,0.00307
72,17938.1,0.68952,0.37778,0.87139,0.58566,0.5631,0.57973,0.44581,1.06305,1.12532,1.0265,0.002971,0.002971,0.002971
73,18186.8,0.68955,0.37683,0.87196,0.61196,0.56824,0.58568,0.45051,1.06573,1.12711,1.02794,0.002872,0.002872,0.002872
74,18435.3,0.68274,0.37535,0.87051,0.68619,0.55331,0.59102,0.45389,1.06898,1.11338,1.02864,0.002773,0.002773,0.002773
75,18683.4,0.68493,0.37405,0.86936,0.63922,0.57579,0.59219,0.45494,1.06733,1.0995,1.02677,0.002674,0.002674,0.002674
76,18932.4,0.68322,0.37227,0.87049,0.6452,0.58141,0.59412,0.4558,1.06938,1.09973,1.02819,0.002575,0.002575,0.002575
77,19181.3,0.67955,0.36889,0.86851,0.65124,0.578,0.59429,0.45568,1.06968,1.10215,1.02862,0.002476,0.002476,0.002476
78,19430.3,0.67903,0.3686,0.86795,0.66282,0.57721,0.59523,0.4559,1.06913,1.10888,1.0283,0.002377,0.002377,0.002377
79,19678.9,0.67582,0.36497,0.86844,0.66154,0.57932,0.59628,0.45716,1.06845,1.10865,1.02764,0.002278,0.002278,0.002278
80,19928.6,0.67558,0.36483,0.86788,0.69336,0.57778,0.60409,0.46225,1.06864,1.10569,1.02812,0.002179,0.002179,0.002179
81,20177.9,0.67071,0.36336,0.86594,0.6755,0.57828,0.60115,0.45978,1.06678,1.11798,1.0273,0.00208,0.00208,0.00208
82,20427.6,0.67156,0.35959,0.86672,0.68176,0.5801,0.60123,0.46088,1.06899,1.13247,1.02882,0.001981,0.001981,0.001981
83,20677.3,0.67055,0.35832,0.86522,0.67108,0.57742,0.59928,0.4591,1.0726,1.13516,1.03105,0.001882,0.001882,0.001882
84,20926.1,0.6687,0.35845,0.86422,0.64946,0.57735,0.5968,0.45707,1.07456,1.13811,1.03096,0.001783,0.001783,0.001783
85,21174.8,0.66649,0.35552,0.86344,0.66132,0.573,0.60019,0.46119,1.07465,1.14418,1.03083,0.001684,0.001684,0.001684
86,21423.4,0.66349,0.35354,0.86386,0.75125,0.53809,0.60154,0.46341,1.07517,1.1381,1.03045,0.001585,0.001585,0.001585
87,21671.6,0.66382,0.35323,0.86391,0.69033,0.55961,0.6035,0.46528,1.07684,1.13239,1.03025,0.001486,0.001486,0.001486
88,21920.7,0.66395,0.35084,0.86432,0.72597,0.54406,0.60416,0.46568,1.07772,1.12379,1.0304,0.001387,0.001387,0.001387
89,22169.4,0.65992,0.34798,0.86324,0.72776,0.54386,0.60374,0.46574,1.07931,1.12303,1.03157,0.001288,0.001288,0.001288
90,22418.1,0.65652,0.34582,0.8626,0.73438,0.53995,0.60296,0.46488,1.07993,1.1209,1.03197,0.001189,0.001189,0.001189
91,22653.4,0.64839,0.32469,0.85118,0.72868,0.53787,0.60337,0.4653,1.07895,1.12157,1.03065,0.00109,0.00109,0.00109
92,22887.7,0.64022,0.31782,0.84946,0.71712,0.54442,0.60539,0.46682,1.07845,1.12673,1.02976,0.000991,0.000991,0.000991
93,23123.6,0.63839,0.31604,0.84766,0.71895,0.54572,0.60789,0.46896,1.07773,1.13314,1.02927,0.000892,0.000892,0.000892
94,23357.2,0.63428,0.31402,0.84729,0.72048,0.54574,0.60977,0.4706,1.07776,1.13333,1.02855,0.000793,0.000793,0.000793
95,23592.7,0.63145,0.31208,0.84633,0.72989,0.54203,0.61101,0.47158,1.07831,1.13669,1.02877,0.000694,0.000694,0.000694
96,23825.8,0.62988,0.30868,0.84627,0.73413,0.53848,0.61204,0.47204,1.07829,1.138,1.02882,0.000595,0.000595,0.000595
97,24059.5,0.62673,0.30737,0.84405,0.73904,0.53514,0.61316,0.4729,1.0791,1.14158,1.029,0.000496,0.000496,0.000496
98,24293.9,0.62445,0.30409,0.84352,0.73701,0.53707,0.61322,0.47292,1.07995,1.14678,1.02947,0.000397,0.000397,0.000397
99,24527.1,0.62189,0.30065,0.84384,0.73668,0.5353,0.61335,0.47283,1.08066,1.15196,1.02961,0.000298,0.000298,0.000298
100,24762.1,0.62042,0.2986,0.8445,0.72968,0.53743,0.61326,0.47272,1.08077,1.15407,1.02951,0.000199,0.000199,0.000199
